Ship Name,Abbreviation,Type,Co. Reference,LOA,Beam,Draught,Grt,Net Tonnag,Port Of Registration,Date,Nationality,Dead Weight,LRN
1905 BARGE,BARG,MISCELLANEOUS,41412,36,0,0,99,99,,,,99,
A LA MARINE,LAM,FREIGHTER,28813,170.06,25.2,9.5,16023,6251,HONG KONG,03/03/2011 00:00,,20069,9386524
A2,A2,CRUISE,78322,47.35,8.11,2.41,458,137,GEORGE TOWN,,CAYMAN ISLANDS,0,1008035
AAL BANGKOK,AALB,FREIGHTER,563504,148.99,23,9.8,14053,5373,MONROVIA,28/06/2012 00:00,LIBERIA,18703,9521564
AARON,AAR,TUG,COMDCK,23.95,9,3,164,49,ND,01/01/2013 00:00,NETHERLANDS,0,9653214
ABEKO SERVER 1,ABE1,DREDGER,COMDCK,55.15,15,4,10,0,HOLLAND,01/01/1998 00:00,DUTCH,0,245589000
ABEKO SERVER 2,ABE2,DREDGER,480211,48,12,2,999,999,0,01/01/1997 00:00,DUTCH,0,24429000
ABEKO SERVER 3,ABE3,DREDGER,480211,44,0,3,999,999,,,,999,9252668
ACAMAR,ACA,TUG,COMDCK,16,5,,99999999,,,,UK,,
ACHTHERGRACHT,ACH,FREIGHTER,20246,129.8,18,8,7949,4157,AMSTERDAM,01/03/2013 00:00,NETHERLAND,12150,8821802
ACWS CONTINGENCY RACING,ACWS CONT,MISCELLANEOUS,20246,50,,,100,,,,,,
ACWS LIVE RACING,ACWS LIVE,MISCELLANEOUS,20246,50,,,100,,,,,,
ADIX,ADIX,CRUISE,CASH,67,8.6,5,21,87,LONDON,,UNITED KINGDOM,0,1000150
ADURNI,ADU,TUG,COMDCK,16,5,,999999,,,,UK,,
AEGEAN ODYSSEY,AEG ODY,CRUISE,202362,140.5,20.82,6.58,12094,,PANAMA CITY,18/06/1972 00:00,PANAMA,4174,7225910
AEL SERVICE,AEL SERVICE,FREIGHTER,28813,99,,,99,,,,,,
AETHRA,AETHRA,TUG,507300,94.1,22,7.11,7082,2124,LIMASSOL,,CYPRUS,4549,9181481
AFON LAS,AFLAS,TUG,COMDCK,25,9.5,3.04,131,39,BEAUMARIS,14/07/2010 00:00,UK,200,9547398
AFON LLIGWY,AFO,TUG,20193,2.35,8,2,119,0,,,UK,0,9266384
AFRIC STAR,AFR,FREIGHTER,28813,158.53,23,9,11590,6230,NASSAU,,,12519,8713562
AGULHAS STREAM,AGU,FREIGHTER,28813,150,22,9,9298,4983,WILLEMSTAD,,NETHERLANDS,11048,9158537
AIDAAURA ,AIDAAURA,CRUISE,20162,203.2,28.1,6.2,42289,,GENOA ,01/11/2004 00:00,ITALY ,,9221566
AIDABELLA,AIDABELLA,CRUISE,64766,252,,,69203,,GENOA,,ITALY,,9362542
AIDACARA,AIDACARA,CRUISE,CASH,193.3,27.58,6.19,38531,,GENOA,,ITALY,,9112789
AIDAMAR,AIDAMAR,CRUISE,64766,253,32.2,7.3,71304,45123,GENOA,01/05/2012 00:00,ITALY,7757,9490052
AIDASOL,AIDASOL,CRUISE,20162,253,32.2,7.2,71304,45164,GENOA,27/02/2011 00:00,ITALY,7892,9490040
AIDAVITA,AIDAVITA,CRUISE,20162,203,28,6.4,42289,20877,GENOA,10/06/2001 00:00,ITALY,4232,9221554
ALBATROS,ALBA,CRUISE,423437,205.46,25,7,28518,10962,NASSAU,,BAHAMAS,5936,7304314
ALBEMARLE ISLAND,ALBE,FREIGHTER,28813,178.5,25,9,14061,6900,NASSAU,01/12/1992 00:00,,14160,9059602
ALBULA,ALB,MISCELLANEOUS,78322,63.84,,3.6,1397,,,,,,1008920
ALEXANDER,ALEX,FREIGHTER,563504,116.08,15.9,6.39,4723,2724,SAINT JOHN'S,01/05/2009 00:00,ANTIGUA & BARBUDA,7400,9433353
ALI CAT OF COWES,ALI CAT,MISCELLANEOUS,20184,20,10,17,78,,COWES,,UK,,232006214
ALSTERDIJK,ALS,FREIGHTER,28813,168.09,,10,17368,7822,MONROVIA,,LIBERIA,21150,9491484
ALVA,ALV,MISCELLANEOUS,CASH,54,7,3,286,85,STOCKHOLM,,SWEDEN,470,5013052
AMADEA,AMADEA,CRUISE,423437,190,24,6,28856,10131,NASSAU,01/10/1991 00:00,BAHAMAS,2248,8913162
AMANDA,AMAN,FREIGHTER,507300,80.96,11.3,2.8,1441,459,MARSTAL,01/11/2002 00:00,DENMRK,1795,8104565
AMARA,AMARA,MISCELLANEOUS,COMDCK,57.3,9.5,3,702,210,GEORGE TOWN,,CAYMAN ISLANDS,,1001178
AMARYLLIS,AMARY,MISCELLANEOUS,20246,78.43,12,3,2108,,GEORGE TOWN,09/11/2011 00:00,UK,220,1010519
AMBER11,AMB,TUG,28813,48,13,5,975,292,VALLETTA,,MALTA,760,9425423
AMBIENCE,AMBIENCE,CRUISE,20162,245,,,70285,,,,,,
AMBITION,AMB2,CRUISE,20162,216,28.8,7,48123,25196,NASSAU,01/03/2022 00:00,BAHAMAS,4923,9172777
AMERA,AMERA,CRUISE,423437,204,32.32,7.25,38848,15501,NASSAU,29/04/1988 00:00,BAHAMAS,6150,8700280
AMOENITAS,AMO,FREIGHTER,101128,133.98,,23,11473,3834,SAINT JOHNS,01/06/2014 00:00,ANTIGUA BARBUD,9963,9505510
ANDALUCIA STAR,ANDAL,FREIGHTER,28813,158.5,23,9,11658,6290,NASSAU,01/06/1989 00:00,BAHAMAS,12714,8816170
ANDRE B,ANDREB,TUG,533631,31.1,9,4,1,1,,,DUTCH,1,
ANDREA,ANDREA,FREIGHTER,644009,134.4,22,8,9981,6006,GIBRALTAR,11/07/2005 00:00,NORWAY,11285,9333357
ANDRINA F,ANDRINA F,FREIGHTER,563504,81.09,11,3,1568,556,SAINT JOHN'S,08/09/1990 00:00,ANTIGUA & BARBUDA,1890,8919221
ANDROS,AND,FUEL BARGE,202362,90.22,15.6,6.01,3212,1294,LIMASSOL,01/02/2020 00:00,CYPRUS,4605,9371347
ANNASTAR,ANNA,MISCELLANEOUS,78322,49.94,9.3,2.32,492,147,GEORGE TOWN,03/01/0012 00:00,CAYMAN ISLANDS,107,9620190
ANNE,ANNE,FREIGHTER,28813,139.14,22.6,8.8,9981,4900,MADEIRA,01/01/2006 00:00,PORTUGAL,11808,9347803
ANNEMIEKE,ANN,FREIGHTER,563504,151.63,20.4,6.5,8388,,,,,,9147681
ANSAC PRIDE,ANSAC,FREIGHTER,20162,177.85,28.66,10.87,22863,12519,HONG KONG,01/01/2013 00:00,,37094,9619737
ANTJE,TJE,FREIGHTER,563504,130.24,16.49,7,7138,2266,SAINT JOHN'S,25/10/2010 00:00,,7984,9570620
ANTWERP TRADER,ANT,FREIGHTER,28813,211.85,,11,27059,12221,VALLETA,,MALTA,34444,9304746
AQASIA,AQA,FREIGHTER,423437,85.16,13,5,2141,969,VALRTTA,01/06/2011 00:00,MALTESE,2845,9556753
ARCTIC PRIDE II,ARCT,MISCELLANEOUS,78322,46.43,8.69,2.17,475,142,BIKINI,01/01/2020 00:00,MARSHALL ISLANDS,58,9860776
ARCTIC ROCK,ARC,FREIGHTER,563504,92.2,15,5,2989,896,URK,01/04/2014 00:00,NETHERLANDS,3285,9650901
ARIES J,ARI,FREIGHTER,28813,151.72,23,8,10585,5372,LIMASSOL,,CYPRUS,12892,9514767
ARION,ARIO,TUG,COMDCK,30.38,8,4,257,,,01/01/1978 00:00,GERMANY,144,7726902
ARMORIQUE,ARM,FERRY,20212,167,32,6,29468,11605,MORLAIX,01/01/2009 00:00,FRENCH,4200,9364980
ARROW,ARR,FERRY,163081,122.32,19,6,7606,2282,DOUGLES,01/01/2013 00:00,ISLE OF MANN,5656,9119414
ARTANIA,ART,CRUISE,423437,231,32,7,44656,19772,HAMILTON,01/05/2011 00:00,BERMUDA,4661,8201480
ARTEMIS,TEM,TUG,507300,67.83,16,6,1989,596,LIMASSOL,01/09/1989 00:00,CYPRUS,2330,8321591
ARUBABORG,ARU,FREIGHTER,563504,143,21.53,9.69,11864,5650,DELFZIJL,,NETHERLANDS,17407,
AS FATIMA,ASF,FREIGHTER,28813,166.15,25,9,15334,5983,MONROVIA,01/04/2015 00:00,LIBERIA,18343,9437191
AS FLORETTA,FLO,FREIGHTER,423437,166.15,25,9,15375,5983,MADEIRA,26/12/2006 00:00,PORTUGAL,18278,9395056
AS PALINA,PAL,FREIGHTER,28813,210.05,30,11.5,26833,12743,MONROVIA,21/01/2004 00:00,,34567,9283693
ASNE,ASN,FUEL BARGE,121266,40,14,1,99,99,,,,99,
ASTOR,AST,CRUISE,20162,176.2,22,6,20606,7637,NASSAU,01/01/1987 00:00,GERMAN,,8506373
ASTORIA,ASTORIA,CRUISE,20162,160.08,21,9,16144,5931,MADEIRA,,,2020,5383304
ASTREA,TRE,MISCELLANEOUS,507300,71.33,17,6,2590,777,PIRAEUS,01/01/1987 00:00,GREECE,3200,8520771
ASTRID ERIKA,ASTR,FREIGHTER,563504,89.99,14.18,6.1,2999,1639,FLEKKEFJORD,01/01/2005 00:00,NORWAY,4933,9291731
ATALANTI,ATA,MISCELLANEOUS,507300,96.99,31,4,5897,1769,LIMASSOL,06/10/2008 00:00,CYPRUS,5613,8661616
ATLANTIC ACANTHUS,ATLA,FREIGHTER,28813,144.53,21,9,9649,5349,NASSAU,,,11793,9189897
ATLANTIC ERICA,ATLE,FREIGHTER,20195,144.5,21,9,9649,5349,PANAMA,,PANAMA,11791,9194476
ATLANTIC KLIPPER,ATLANKLIP,FREIGHTER,28813,165,25,10,14091,7603,SCHEVENIMGEN,01/01/2011 00:00,DUTCH,15692,9454761
ATLANTIC REEFER,ATLR,FREIGHTER,28813,175.7,,9,14505,7580,MONROVIA,,LIBERIA,17322,9179256
AURA,AURA,FREIGHTER,563504,101.8,18.83,4.9,3259,978,TURKU,01/01/2008 00:00,FINLAND,4965,9395276
AURORA,AURORA,CRUISE,645902,270,33.6,8.4,76152,40.04,HAMILTON,01/01/2000 00:00,BERMUDA,8.49,9169524
AVON,AVO,TUG,542928,26,8,2,999,999,UK,,UK,999,
AZAMARA JOURNEY,AZAMARA JOURNEY,CRUISE,20162,181,,,30277,,,,,,
AZAMARA QUEST,AZAMARA QUEST,CRUISE,20162,181,,,30277,,,,,,
BAIE DE SEINE,BDS,FERRY,20212,199.4,25,6,22382,8064,,,FRENCE,5625,9212163
BAILEY SENTINEL,BASE,MISCELLANEOUS,202362,61.98,15.5,4.6,2173,651,ABERDEEN,,UNITED KINGDOM,1487,9761425
BAKER TRAYTE 1,BAK1,MISCELLANEOUS,121266,99,99,99,99,99,,,,99,
BALMORAL,BALMORAL,CRUISE,20162,218.91,,,43537,,NASSAU,,BAHAMAS,,8506294
BALMORAL (SS),BAL,STEAMBOAT,516508,62,9,3,734,309,BRISTOL,,BRITISH,,5034927
BALTIC,TIC,FREIGHTER,202362,92.2,15,4,2957,,,01/01/2017 00:00,NETHERLANDS,3264,9763784
BALTIC HEATHER,BALH,FREIGHTER,20195,149,22,8,9859,5124,MONROVIA,11/03/1998 00:00,LIBERIA,10114,9181144
BALTIC KLIPPER,BALTCKLIP,FREIGHTER,28813,165,25,10,14091,7238,MONROVIA,01/01/2010 00:00,LIBERIAN,156609,9454759
BALTIC LORD,BALO,FREIGHTER,28813,155.2,23.4,9.5,11443,6336,ST VINCENT & THE GRENADINES,,,12912,9160274
BALTIC MERCURY,BALM,FREIGHTER,20195,145.5,22,9,10298,4653,KINGSTOWN,01/10/2012 00:00,ST VINCENT,11067,8616312
BALTIC PERFORMER,BALP,FREIGHTER,20195,150.01,22,9,10381,5253,MONROVIA,,LIBERIA,10603,9016674
BALTIC PILGRIM,BPIL,FREIGHTER,20195,150.01,22,9,10381,5253,MONROVIA,,LIBERIA,10621,9016662
BALTIC PIONEER,BPIO,FREIGHTER,20195,150.01,22,9,10374,5253,MONROVIA,01/11/2013 00:00,LIBERIA,10532,9070137
BALTIC SPIRIT,BALSP,FREIGHTER,28813,188.6,26,9.72,17421,8092,NASSAU,01/11/2018 00:00,BAHAMAS,16580,9765873
BALTIC SPRING,BALS,FREIGHTER,20195,156.89,23,9,10842,6381,MONROVIA,,LIBERIA,12942,8909070
BALTIC SUMMER,BSUM   ,FREIGHTER,20195,156.88,23,9,10842,6381,MONROVIA,01/09/2013 00:00,LIBERIA,12942,8802090
BARFLEUR,BARF,FERRY,20212,157.65,23,8,20133,0,CHERBOURG,,FRENCE,0,9007130
BARGE,BAR,MISCELLANEOUS,COMDCK,25,9,,30,,,,,,
BARRINGTON ISLAND,BARRI,FREIGHTER,28813,178.5,25.24,9.2,14061,6900,NASSAU,01/09/1993 00:00,BAHAMAS,14140,9059614
BAVENIT,BAV,DREDGER,202362,88.17,17,5,3575,1073,MURMANSK,,RUSSIA,2289,8406573
BAY PHOENIX,BAYP,FREIGHTER,28813,134.02,20,7,7326,4810,MONROVIA,18/06/1993 00:00,,8041,9047271
BBC ALBERTA,BBCAL,FREIGHTER,563504,138,21,8,9611,4260,MONROVIA,,LIBERIA,12655,
BBC BAHRAIN,BBCB,FREIGHTER,563504,128.45,16,7,6309,2841,SAINT JOHN'S,01/01/2012 00:00,GERMAN,7967,9578751
BBC BELEM,BBCBEL,FREIGHTER,563504,128.97,16,7,6310,2841,ST JOHNS,11/09/2010 00:00,GERMAN,8129,9501655
BBC BERGEN,BBCBER,FREIGHTER,563504,128.45,16,7,6310,,SAINT JOHN'S,,ANTIGUA & BARBUDA,8000,9437153
BBC EAGLE,BBC EAGLE,FREIGHTER,563504,139,20,7.72,8750,,SAINT JOHNS,01/01/2008 00:00,ANTIGUA BARBUDA,10340,9407574
BBC EDGE,BBC EDGE,FREIGHTER,563504,139.03,,7.7,8.75,,,,,10.38,
BBC KANSAS,BBCKAN,FREIGHTER,202362,138.02,21,8,9611,4260,SAINT JOHNS,01/06/2006 00:00,GERMAN,12730,9349291
BBC LISBON,BBC LIS,FREIGHTER,563504,130.18,,7,7.14,2.27,ANTIGUA AND BARBUDA,01/01/2011 00:00,,7.84,9513634
BBC LIVORNO,BBCLIVORN,FREIGHTER,563504,130.22,16,7,7138,3412,"ST JOHNS, ANTIGUA AND BARBUDA",01/06/2012 00:00,ANTIGUAN,7933,9570670
BEAUMARE,MARE,FREIGHTER,20162,88.6,12520,5.4,2545,1460,ROTTERDAM,01/02/2016 00:00,NETHERLANDS,3850,9401245
BELLA VITA,BELA,MISCELLANEOUS,78322,60,11.41,3.5,1218,365,GEORGE TOWN ,01/07/2010 00:00,CAYMAN ISLANDS,189,1010337
BELLINGSHAUSEN,BELL,FREIGHTER,507300,87.98,12.8,5.51,2452,1369,ST JOHNS,01/01/2003 00:00,ANTIGUA & BARBUDA,3672,9197399
BENGUELA STREAM,BEN,FREIGHTER,28813,150,22,9,9298,4998,GRONINGEN,,NETHERLANDS,11016,9158549
BERLIN,BER,CRUISE,20162,139.3,17,4,9570,3542,VALLETA,01/12/1980 00:00,,1796,7904889
BERTH RESERVED,RESERVED,MISCELLANEOUS,20162,1,,,1,,,,,,
BF FORTALEZA,BFFO,FREIGHTER,644009,121.85,18.45,6.68,6362,3998,LIMASSOL,06/08/1996 00:00,CYPRUS,7202,9130432
BG IRELAND,BG IRE,FREIGHTER,20162,139.6,22.39,7.36,8.246,4,LIMASSOL,01/01/2007 00:00,CYPRUS,11.18,9355446
BIG EAGLE,BIG,MISCELLANEOUS,CASH,52,9,3,339,119,KINGSTON,20/06/1980 00:00,USE,0,7916430
BIG RON,BRON,MISC BARGE,29368,20,9,1.5,135,75,LONDON,01/03/2020 00:00,UNITED KINGDOM,,8891053
BIRGIT,BIRG,FREIGHTER,507300,116.08,15.9,6.39,4723,2493,SAINT JOHNS,01/01/2008 00:00,ANTIGUA & BARBUDA,7560,9433341
BIRGIT G,BRGG,FREIGHTER,507300,88.6,12.69,5.41,2545,1460,SAINT JOHNS,01/01/2010 00:00,ANTIGUA & BARBUDA,3850,9536064
BKM103,BKM,DREDGER,20193,26.5,11,2,182,0,,,,226,9190341
BLACK WATCH,BLA,CRUISE,20162,205.47,25,7,28163,11854,NASSAU,01/01/1972 00:00,BAHAMAS,5656,8000293
BLADE RUNNER 2,BRUN2,FREIGHTER,57668,75,0,0,999,999,UK,,,0,9287754
BOA NJORD,BOA,TUG,184979,32,11,5,490,147,VALLETTA,01/01/2009 00:00,,0,9551911
BOLDWIND,BOLDWIND,FREIGHTER,563504,148.45,28.042,5.6,8604,2582,MADEIRA,01/05/2020 00:00,PORTUGAL,10,9870018
BOLETTE,BOL,CRUISE,563504,237,32.28,8.12,62735,31639,NASSAU,01/01/2000 00:00,BAHAMAS,7327,9188037
BOMAR CAEN,BOM,FREIGHTER,28813,210.06,30,11,26836,12743,MADEIRA,17/10/2004 00:00,PORTUGAL (MAR),34289,9301433
BOREALIS,BOREALIS,CRUISE,20162,237.7,,,61849,,BAHAMAS,01/01/1997 00:00,,,9122552
BORNHOLM,ORN,FREIGHTER,563504,87.95,11,4.2,1945,1039,LATVIA,16/04/2006 00:00,GERMANY,2443,9350460
BORROWDALE H,BOR,FUEL BARGE,20104,50.6,6,3,356,170,HULL,01/01/1972 00:00,UK,0,7228479
BOUDICCA,BOU,CRUISE,20162,207,2502,7,28372,11649,NASSAU,01/06/1973 00:00,BAHAMAS,5291,7218395
BOYNE,BOYN,MISCELLANEOUS,563504,105.5,99,6.29,8082,,VALLETTA,01/06/2020 00:00,MALTA,,9369928
BRAEMAR,BRA,CRUISE,157352,195.82,22,5,24344,8103,UK,21/06/1993 00:00,UK,2978,9000699
BRAVEWIND,BRAVEWIND,FREIGHTER,563504,149,28,,8604,,MADEIRA,,PORTUGAL,10000,9886330
BRAZILIAN REEFER,BREEF,FREIGHTER,20195,144.6,23,10,12383,7978,NASSAU,14/10/1983 00:00,,14786,8300377
BREMAN,BRE,CRUISE,20162,111.51,17,4,6752,2073,NASSAU,,BAHAMAS,1226,8907424
BREMEN,BREMEN,FREIGHTER,507300,89.88,12.9,5.65,2.59,1.39,LIMASSOL,01/01/2012 00:00,CYPRUS,3.81,9617301
BRETAGNE,BR,FERRY,20212,151.2,29,6,24534,13242,MORLAIX,26/01/1993 00:00,FRENCH,0,8707329
BRILLIANCE OF THE SEAS,BRILLANCE OF THE SEAS,CRUISE,20162,292,,,90090,,,,,,
BRILLIANT LADY,BRILLIANT LADY,CRUISE,20162,278,,,110000,,,,,,
BRITANNIA BEAVER,BRITBEAVR,FREIGHTER,407737,99.95,17.71,6.24,3610,1038,LONDON,01/01/1991 00:00,UNITED KINGDOM,5786,9001667
BSL CAPE TOWN,BSL,FREIGHTER,28813,210.03,30.23,11.5,26,12,MONROVIA,28/03/2019 00:00,LIBERIA,34,9275048
BUCENTAUR ,BUC,MISCELLANEOUS,202362,77.35,16,5,2,830,NASSAU,25/10/1982 00:00,,2,8112548
BUSTLER,BUS,TUG,41412,39.99,99,99,99,99,,,,99,7902336
BUXTEHUDE,BUX,FREIGHTER,644009,134.4,22.5,8.71,9962,6006,ST JOHNS,01/07/2006 00:00,,11431,9354339
BYSTANDER,BYS,MISCELLANEOUS,CASH,42.18,9,2,561,168,GEORGE TOWN,01/01/2001 00:00,UK,99,1008736
CADENA 4,CAD4,FREIGHTER,20195,155,22.7,7.1,12433,3730,OSLO,,NORWAY,9235,9132002
CALEDONIAN SKY,CSKY,CRUISE,20162,90.6,15,3,4200,1263,BAHAMAS,24/03/1990 00:00,,645,8802870
CAP BEATRICE,CAP,FREIGHTER,28813,210.07,30,11,12743,26833,LIBERIA,,MONROVIA,34317,9275062
CAP FINISTERE,CF,FERRY,20212,203.9,25,6,30285,10703,MORILAX,16/02/2010 00:00,FRENCH,5990,9198927
CAP ROCA,ROC,FREIGHTER,28813,225.09,31,12.2,32984,13452,LIBERIA,07/06/2012 00:00,,34700,9399789
CAPALL MARA,CAPALMARA,DREDGER,202362,39.6,14,2.5,496,,,,,992,
CARIBBEAN STAR,CARIBSTAR,FREIGHTER,28813,184.8,24,9,15058,7480,MONROVIA,,LIBERIA,14726,9150810
CAROLINA,CAROLINA,FREIGHTER,507300,82.5,12.58,5.34,2.409,993,SPIJK,,NETHERLANDS,3.7,9382748
CAUSEWAY,CAU,DREDGER,20193,92.1,19,6,4320,1296,,,,5950,9653197
CELINA,CELINA,FREIGHTER,507300,104.4,16.38,6.76,4.073,2.16,SAINT JOHNS,01/01/2001 00:00,ANTIGUA AND BARBUDA ,6.18,9019200
CELTIC,CELT,FREIGHTER,563504,108.25,14,5.52,3636,1090,URK,01/01/2021 00:00,NETHERLANDS,4514,9917672
CELTIC FORTUNE,CELFOR,FREIGHTER,507300,88.99,14,6.18,2999,1639,CARDIFF,01/12/2020 00:00,UK,5.63,9353711
CHANGUINOLA BAY,CHAN,FREIGHTER,28813,141,20,8,8487,3897,NASSAU,09/09/1988 00:00,,9727,8801814
CHANNEL CHIEFTAIN VI,CHA,MISCELLANEOUS,507300,19,7.3,2,40,,WEYMOUTH,,UK,,
CHARLES ISLAND,CHAR,FREIGHTER,28813,178.5,25,9,14061,6900,NASSAU,,BAHAMAS,14140,9059626
CHILE STAR,CHI,FREIGHTER,28813,150.35,22,9,10629,4253,MONROVIA,01/08/1993 00:00,LIBERIA,10582,9017276
CLARITY,CLAR,FREIGHTER,507300,88.6,12.51,5.42,2545,1460,PEEL,01/07/2022 00:00,UNITED KINGDOM,3796,9370305
CLIFFWATER,CLIF,FUEL BARGE,202362,91.29,12,5,2144,920,PAPEMDRECHT,,NETHERLANDS,3701,9229532
CMA CGM AGADIR,CMAAGA,FREIGHTER,28813,139.1,22,8,9981,4900,ANTIGUA,04/09/2008 00:00,,11500,9362956
CMA CGM ARISTOTE,CMAARIS,FREIGHTER,28813,171,27,9,17594,7181,LONDON,01/07/2007 00:00,UNITED KINGDOM,21267,9360154
CMA CGM HERODOTE,CMAHER,FREIGHTER,28813,171,27,9,17594,7171,LONDON,01/03/2007 00:00,UNITED KINGDOM,18860,9360142
CMA CGM HOMERE,CMAHOM,FREIGHTER,28813,170,27,9,17594,7181,LONDON,23/03/2007 00:00,UNITED KINGDOM,21264,9362322
CMA CGM MEKNES,CMAMEK,FREIGHTER,28813,138.13,22,8,9996,4900,SAINT JOHNS,,ANTIGUA,11775,9435820
CMA CGM PLATON,CMAPLAT,FREIGHTER,28813,171,27,9,17594,7181,LONDON,01/10/2007 00:00,UNITED KINGODM,19430,9362437
CMS WARRIOR,CMS,TUG,566408,22.73,10,4,161,,,,,,9765184
